latitude,longitude,time,day_of_week,weather,social_media_alerts,event_density,previous_crimes_nearby,crime_risk_score,crime_type
24.9816047538945,-83.50008445050148,23,Monday,Stormy,3,2,3,0.4,0
48.02857225639664,-110.77440022006442,20,Saturday,Clear,9,3,4,0.8999999999999999,1
39.2797576724562,-102.66801528150569,0,Sunday,Stormy,1,1,5,0.0,0
33.946339367881464,-86.83596815710908,19,Friday,Clear,8,3,12,0.7,1
16.24074561769746,-95.89553277377601,2,Friday,Clear,4,2,8,0.0,0
16.239780813448107,-83.07144806825531,12,Thursday,Clear,5,3,8,0.5,0
12.32334448672798,-71.93960493885702,6,Thursday,Stormy,8,2,16,0.4,0
44.647045830997406,-114.17266561424013,5,Tuesday,Rainy,8,4,18,0.7,1
34.04460046972835,-84.52161418009695,5,Thursday,Stormy,2,4,1,0.3,0
38.32290311184182,-108.48279221839428,1,Wednesday,Rainy,8,4,14,0.7,1
10.823379771832098,-99.27616362962154,15,Tuesday,Rainy,3,2,8,0.0,0
48.79639408647977,-118.356863710243,5,Monday,Rainy,0,4,1,0.3,0
43.29770563201687,-113.20463088536505,7,Wednesday,Rainy,7,0,13,0.4,0
18.493564427131048,-104.01113554755501,20,Friday,Rainy,1,1,15,0.6000000000000001,1
17.272998688284027,-102.90070973560076,10,Friday,Foggy,9,2,6,0.2,0
17.33618039413735,-75.0207391768952,17,Wednesday,Rainy,3,4,16,0.5,0
22.16968971838151,-82.90935453667424,22,Saturday,Foggy,2,0,13,0.6000000000000001,1
30.990257265289515,-71.39085159064794,5,Thursday,Stormy,8,3,11,0.7,1
27.27780074568463,-90.04642448323797,13,Thursday,Stormy,4,1,9,0.0,0
21.649165607921677,-107.9143133954341,14,Thursday,Foggy,1,1,3,0.0,0
34.474115788895176,-103.61724850391786,10,Friday,Clear,3,4,11,0.5,0
15.579754426081674,-104.00820383540164,14,Wednesday,Rainy,4,2,16,0.2,0
21.685785941408724,-103.67528361683742,12,Thursday,Foggy,5,2,0,0.2,0
24.654473731747668,-86.35179134440921,5,Saturday,Stormy,7,0,12,0.4,0
28.24279936868144,-93.4596035954792,3,Tuesday,Stormy,8,2,4,0.2,0
41.407038455720546,-100.72879109566779,13,Friday,Stormy,8,4,7,0.5,0
17.98695128633439,-112.54551156356418,12,Sunday,Stormy,0,1,1,0.0,0
30.569377536544465,-118.89304185289271,9,Saturday,Foggy,0,1,8,0.0,0
33.696582754481696,-109.05826612061537,21,Wednesday,Clear,2,1,18,0.6000000000000001,1
11.85801650879991,-114.62642980156593,11,Saturday,Stormy,7,4,13,0.7,1
34.30179407605753,-80.72774845738803,23,Wednesday,Clear,4,3,2,0.7,1
16.82096494749166,-114.37510210930573,7,Wednesday,Rainy,9,4,5,0.5,0
12.60206371941118,-83.7885881346582,19,Wednesday,Clear,5,1,16,0.4,0
47.95542149013333,-100.71706551119587,4,Monday,Stormy,7,1,15,0.4,0
48.625281322982374,-116.3310805128112,1,Tuesday,Foggy,3,2,18,0.2,0
42.33589392465844,-79.36349752842071,19,Saturday,Rainy,8,1,15,0.4,0
22.184550766934827,-91.01847148816933,11,Monday,Foggy,9,0,9,0.2,0
13.906884560255355,-108.21192435682134,5,Saturday,Foggy,3,4,16,0.5,0
37.36932106048627,-75.2659412833666,14,Thursday,Clear,9,2,19,0.4,0
27.606099749584054,-117.73708430647243,17,Saturday,Clear,9,2,15,0.4,0
14.881529393791153,-109.90901959011185,17,Monday,Clear,4,3,3,0.3,0
29.807076404450807,-82.39765360970695,9,Monday,Stormy,5,3,15,0.7,1
11.375540844608736,-84.53110348450554,6,Friday,Rainy,5,1,19,0.4,0
46.372816083151285,-105.5364153137761,9,Wednesday,Clear,7,0,19,0.4,0
20.351199264000677,-116.89875623236084,4,Monday,Stormy,8,0,15,0.4,0
36.50089137415928,-77.09609638875281,15,Wednesday,Foggy,0,2,19,0.2,0
22.46844304357644,-104.31511809650488,18,Tuesday,Rainy,2,4,15,0.5,0
30.802720847112433,-110.21432925358674,2,Monday,Foggy,6,3,1,0.5,0
31.868411173731186,-94.19690888195115,6,Friday,Clear,2,2,11,0.2,0
17.394178221021082,-74.48864003587764,18,Friday,Rainy,4,3,18,0.5,0
48.783385110582344,-117.82267110783123,11,Thursday,Stormy,3,3,16,0.5,0
41.00531293444458,-81.70979559845561,9,Monday,Rainy,4,0,6,0.0,0
47.579957662567566,-91.37633860306455,4,Tuesday,Rainy,2,2,9,0.0,0
45.79309401710595,-98.72754417240915,1,Wednesday,Rainy,2,0,17,0.2,0
33.915999152443405,-82.79597779474699,2,Saturday,Clear,9,0,4,0.2,0
46.87496940092467,-71.70877877791838,13,Sunday,Foggy,7,2,0,0.2,0
13.53970008207678,-108.53968944186545,14,Saturday,Foggy,2,4,17,0.5,0
17.83931449676581,-112.81763174639401,19,Saturday,Clear,7,3,12,0.7,1
11.809091556421523,-74.35591273886516,12,Saturday,Clear,4,0,6,0.0,0
23.013213230530575,-86.55234612713483,16,Monday,Foggy,0,4,6,0.3,0
